entry	coab_name	skeptic_verdict	confidence	discriminating_detail
0000:0b15	RunEclVm	no	high	The Matrix function performs a fixed memory write and function call with no loop structure, while the COAB function implements a complex control flow loop with conditional execution and state management, showing no structural correspondence.
0000:0b1a	sub_2619A	error		Could not extract function sub_2619A from ovr003.cs
0000:0b1f	RunEclVm	no	high	The Matrix function performs a simple assignment of a value returned by another function to a fixed memory address, while the COAB function implements a complex loop with conditional logic, state management, and command execution — no structural features align beyond generic operation.
0000:0d49	CMD_Compare	no	high	The Matrix Cubed function uses a fixed constant 0x6b in a call to FUN_0000_06d5, while the COAB function uses no such hardcoded value and instead operates on dynamically indexed command operands.
0000:0de4	RunEclVm	no	high	The Matrix function manipulates memory addresses directly with specific offsets like 0x101, 0xff, 0x57fb, and 0x57fd, while the COAB function uses a hash table lookup via CommandTable and does not exhibit any equivalent memory manipulation or direct address dereferencing pattern.
0000:0dee	RunEclVm	no	high	The Matrix function manipulates stack-based offsets and performs direct memory writes to fixed addresses like 0x8c3c, while the COAB function uses a hash table lookup with CommandTable and operates on a global state machine without fixed address dereferences.
0000:0e07	RunEclVm	no	high	The Matrix function manipulates specific memory addresses (0x57fb, 0x57fd, 0x536a, 0x536c) with direct byte-level operations and conditional logic based on those values, whereas the COAB function uses a hash table lookup mechanism with a command buffer and does not exhibit any equivalent memory access pattern or control flow structure.
0000:0e16	RunEclVm	no	high	The Matrix Cubed function manipulates memory addresses and performs specific arithmetic operations on variables like *(int*)(in_BX + unaff_SI + -0x782) and handles a fixed memory location 0x8c22 with conditional logic, while the COAB function operates entirely within a high-level C# loop structure using hash table lookups and command execution without any equivalent low-level memory manipulation or fixed address handling.
0000:0e39	CMD_Compare	no	high	The Matrix Cubed function performs a direct memory comparison using a ZF flag and AX register against a fixed address, while the COAB function uses a completely different control flow involving command code checks and string/variable comparisons with no overlap in logic or data access patterns.
0000:0e7a	CMD_Compare	no	high	The Matrix Cubed function calls FUN_0000_06d5() while the COAB function performs no such call, indicating different subroutine dependencies and control flow.
0000:0eb5	CMD_Compare	no	high	The Matrix Cubed function performs an in-place increment of a byte value followed by a conditional assignment based on a comparison between two memory locations, while the COAB function performs either string comparison or variable comparison depending on command codes, showing no structural alignment in control flow or operation type.
0000:0f94	CMD_Compare	no	high	The Matrix Cubed function manipulates memory addresses with specific offsets like 0xb6, 0xe3, and 0x45, while the COAB function uses completely different data structures (gbl.cmd_opps, gbl.unk_1D972) and has no equivalent memory manipulation pattern.
0000:13ba	CMD_Compare	no	high	The Matrix function checks a fixed memory address 0x4438 for value 3 and calls FUN_0000_0775, while CMD_Compare performs dynamic string/variable comparison based on command codes, showing no structural alignment in conditional logic or memory access patterns.
0000:1701	RunEclVm	no	high	The Matrix function checks specific hardcoded byte values (0x16 through 0x1b) against memory addresses 0x764f, 0x7648-0x764d, and calls FUN_0000_0734 only when a match is found, while the COAB function uses a command table lookup with no such hardcoded conditional logic.
0000:2670	CMD_Compare	no	high	The Matrix Cubed function compares bytes at fixed memory addresses 0x57f1 and 0x57ad, while the COAB function performs a complex string or variable comparison based on command codes and values, showing no structural alignment in data access patterns or control flow.
0000:3338	CMD_Compare	no	high	The Matrix Cubed function accesses memory addresses 0x687a through 0x687e to read byte values and passes them to FUN_0000_073e, while the COAB function uses gbl.cmd_opps[1].Code and gbl.cmd_opps[2].Code for comparison logic, showing no alignment in data access patterns or control flow.
0000:36d5	CMD_Compare	no	high	The Matrix Cubed function writes a constant value of 1 to memory address 0x8c26, while the COAB function performs no such memory write operation, indicating fundamentally different behavioral structures.
0000:38e0	RunEclVm	no	high	The Matrix function performs a direct lookup-based dispatch on a character value from memory, while the COAB function uses a hash table lookup with a command ID from a pointer array, showing no structural alignment in control flow or data access patterns.
0000:39b7	RunEclVm	no	high	The Matrix function performs a bitwise XOR operation with constant 0xe1 on input AL and uses the result as a direct switch-case index into a series of function calls, while the COAB function uses a command table lookup without any XOR operation or bit manipulation.
0000:4525	CMD_Compare	no	high	The Matrix Cubed function performs direct memory arithmetic on indexed offsets with hardcoded constants (0x16 and 0x3e), while the COAB function handles command code comparisons and string/variable value operations, showing no structural alignment in data access patterns or control flow.
0000:4758	CMD_Compare	no	high	The Matrix Cubed function performs a loop over 8 elements (local_4 from 0 to 7) with specific memory access patterns at offsets like 0x3c and 0x240b, while the COAB function does not exhibit any loop structure or such low-level memory operations; the only resemblance is that both perform comparisons, which is too generic to constitute correspondence.
0000:49de	CMD_Compare	no	high	The Matrix Cubed function performs a direct memory access to 0x44ce and uses a specific offset-based stack addressing pattern (unaff_BP + -9) which is not present in the COAB function's logic, indicating no structural correspondence.
0000:4cde	RunEclVm	no	high	The Matrix function performs a single conditional check against a fixed offset (-8) and then calls a fixed subroutine with hardcoded parameters, while the COAB function implements a complex loop with dynamic command execution and state management, showing no structural correspondence in control flow or operational logic.
0000:4ebe	RunEclVm	no	high	The Matrix function manipulates stack-based offsets and performs direct memory access with specific hardcoded constants like 0x3c, 0x3e, and 0x534a/0x534c, while the COAB function uses a hash table lookup with no such low-level memory addressing or stack manipulation.
0000:4f8a	CMD_Compare	no	high	The Matrix Cubed function manipulates memory addresses and performs arithmetic operations on byte values, while the COAB function handles string and variable comparisons via high-level API calls, showing no structural alignment in data handling or control flow.
0000:5138	CMD_Compare	no	high	The Matrix Cubed function performs a complex conditional check involving flags and memory access patterns around offset 0xffb7, while the COAB function only does simple value comparisons without any such flag-based branching or memory manipulation.
0000:635d	CMD_Compare	no	high	The Matrix Cubed function uses a fixed memory address 0x7817 with a loop that increments a counter from 0 to 7, while the COAB function accesses gbl.cmd_opps[1] and gbl.cmd_opps[2] with no equivalent loop structure or fixed address incrementation.
0000:6770	CMD_Compare	no	high	The Matrix Cubed function performs arithmetic operations and memory accesses with specific offsets (0x16, 0x1a, 0x1e, 0x20, 0x3c, 0x3e) and a fixed lookup table access pattern at 0x240b, while the COAB function handles string and variable comparison with no equivalent memory addressing or arithmetic structure.
0000:6833	CMD_Compare	no	high	The Matrix Cubed function performs a loop with specific memory access patterns and arithmetic operations on indexed data, while the COAB function handles string and variable comparison through distinct API calls without any looping or arithmetic on indexed byte sequences.
0000:70b6	RunEclVm	no	high	The Matrix function performs direct memory comparisons against fixed addresses (0x5354, 0x5352, 0x5359) with specific offset calculations, while the COAB function uses a hash table lookup and loop-based command execution without any such fixed-memory-access pattern.
0000:71c3	RunEclVm	no	high	The Matrix function performs direct memory accesses and subroutine calls with specific offsets like -0x104, -2, -4, while the COAB function uses a hash table lookup and a command execution loop with no such low-level memory manipulation or fixed offset arithmetic.
0000:790f	RunEclVm	no	high	The Matrix function manipulates stack offsets and performs direct memory reads/writes with specific hardcoded offsets like 0x101, 0xff, 0xd4, while the COAB function uses a dictionary lookup table and operates on a global state machine with no equivalent memory addressing patterns.
0000:84a8	RunEclVm	no	high	The Matrix function performs direct memory manipulation and calls to fixed addresses like 0x72be and 0x72c0, while the COAB function uses a hash table lookup via CommandTable and operates on a global state machine with no direct memory writes to fixed offsets.
0000:8575	CMD_Compare	no	high	The Matrix Cubed function performs a memory access pattern involving a fixed offset from a data segment and conditional assignment based on a global flag, while the COAB function performs string or variable comparison via distinct API calls with no equivalent memory manipulation structure.
0000:85d1	sub_2619A	error		Could not extract function sub_2619A from ovr003.cs
0000:8691	RunEclVm	no	high	The Matrix function performs complex memory access patterns and state management involving specific offsets like 0xd4, 0xd5, 0xf3, and 0x101, while the COAB function uses a simple array lookup with a fixed offset (0x8000) and no such detailed memory manipulation.
0000:8695	CMD_Compare	no	high	The Matrix function manipulates a byte at offset 0x3d relative to SI and checks if it equals zero, while the COAB function performs string or variable comparison based on command codes, showing no structural alignment in data access patterns or control flow.
0000:ae00	RunEclVm	no	high	The Matrix function processes input characters ('M', 'T', 'V', etc.) in a loop with specific subroutine calls and memory writes, while the COAB function uses a command table lookup with no such character-based branching or direct memory manipulation.
0000:b5f2	RunEclVm	no	high	The Matrix function performs a fixed sequence of calls with hardcoded constants like 0x8a, 0x56, and 0x99, while the COAB function implements a generic loop-based ECL VM executor with no such hardcoded control flow or direct constant usage.
0000:c5b3	CMD_Compare	no	high	The Matrix function manipulates memory addresses with specific offsets (0xeb, 0xed) and calls a function with a local array and stack segment, while the COAB function performs string or variable comparison without any memory address manipulation or stack segment handling.
0000:ce54	RunEclVm	no	high	The Matrix function uses a fixed constant 0xDB in multiple call arguments and manages game state through specific memory offsets like 0x7514, while the COAB function operates on a command table with dynamic lookups and has no equivalent fixed constant or memory access pattern.
0000:d64a	RunEclVm	no	high	The Matrix function performs low-level memory operations and direct subroutine calls with specific offsets into data segments, while the COAB function implements a high-level interpreted bytecode loop using a command table and does not exhibit any matching structural elements like data segment access or specific call patterns.
0000:e892	CMD_Compare	no	high	The Matrix Cubed function performs a specific arithmetic check using a fixed offset (0x71dc) and multiplication constant (0x32), while the COAB function performs string or variable comparison without any such memory access pattern or arithmetic operation.
1000:0f99	RunEclVm	no	high	The Matrix function accesses memory at a fixed offset 0x57fb and uses a specific constant 0x2e for byte access, while the COAB function operates on a global pointer array with no equivalent memory access pattern or fixed offsets.
1000:0fdf	CMD_Compare	no	high	The Matrix function checks a specific memory address (0x72c5) for a value of 1 and calls another function with a bitwise operation, while the COAB function performs string or variable comparison based on command codes, showing no structural alignment in control flow or memory access patterns.
1000:19b3	CMD_Compare	no	high	The Matrix function performs arithmetic operations and conditional logic on byte-level data with specific memory offsets, while CMD_Compare handles string and variable comparison through high-level VM functions, showing no structural alignment in control flow or data handling patterns.
1000:2390	sub_3A071	no	high	The Matrix function performs complex memory accesses, conditional logic, and arithmetic operations involving specific offsets like 0xdb, 0xeb, 0xed, and 0x72c8, while the COAB function only calls a single utility method with no matching structural or behavioral patterns.
1000:246b	compare_variables	no	high	The Matrix function performs bit manipulation and memory access at offset 0xd6, while the COAB function only sets boolean flags based on direct value comparisons, showing no alignment in either control flow or data handling structure.
1000:3e5a	CMD_Compare	no	high	The Matrix function performs a complex sequence of memory accesses, function calls with specific constants like 0x99 and 0xdb, and conditional logic based on string comparisons, while the COAB function only handles command value/string comparison without any matching structural patterns or constant usage.
1000:458e	sub_29271	error		Could not extract function sub_29271 from ovr003.cs
1000:4b2e	CMD_Compare	no	high	The Matrix Cubed function writes a constant value 1 to the first parameter and calls FUN_1000_3b01 with specific parameters, while the COAB function performs string or variable comparison based on command codes, showing no alignment in either control flow or operational logic.
1000:9c26	CMD_Compare	no	high	The Matrix function operates on a fixed memory offset (0x27) to determine control flow and write to a fixed offset (0xb8), while CMD_Compare performs dynamic string or variable comparison without any fixed memory access pattern.
1000:a918	CMD_Compare	no	high	The Matrix function manipulates game object stats and performs arithmetic operations on local variables, while CMD_Compare handles string and variable comparison logic with no overlapping control flow or memory access patterns.
1000:d0f8	CMD_Compare	no	high	The Matrix Cubed function performs bitwise operations and conditional jumps based on a lookup table value, while the COAB function performs string or variable comparison without any bitwise manipulation or lookup table access.
1000:d71e	CMD_Compare	no	high	The Matrix function processes specific numeric constants like 0x100, 0x10c, 0x10e, and 0x2b1 for conditional logic, while CMD_Compare performs string or variable comparison without any such hardcoded value branching.
1000:d995	RunEclVm	no	high	The Matrix function processes specific constant offsets like 0x8400, 0x100, 0x10c, and 0x10e against param_4, while the COAB function operates on a generic loop with no such hardcoded memory access patterns or conditional logic based on specific offset constants.
1000:ea8d	RunEclVm	no	high	The Matrix function performs low-level memory access and bit manipulation with specific offsets like 0xf9, 0xf7, 0x36, 0x2a, 0x2c, 0x34, while the COAB function operates on a high-level command table with no equivalent memory layout or bitwise operations.
2000:3ea6	sub_292A5	error		Could not extract function sub_292A5 from ovr003.cs
2000:4967	CMD_Compare	no	high	The Matrix function returns a boolean based on a comparison against 0xf while the COAB function performs different operations depending on whether command codes are >= 0x80, showing no structural alignment in conditional logic or return behavior.
2000:6110	CMD_Compare	no	high	The Matrix Cubed function manipulates a global state variable at offset 0x40e8 with specific hardcoded transitions based on its current value, while the COAB function performs string or variable comparison without any global state modification.
2000:6f30	CMD_Compare	no	high	The Matrix function manipulates an array of 7 elements via a loop with specific memory offsets (0xc6) and calls FUN_2000_6e65, while CMD_Compare performs string or variable comparison without any array manipulation or memory access at a fixed offset.
2000:7b02	CMD_Compare	no	high	The Matrix function performs a byte comparison using a specific memory address 0x72cf and a fixed offset 0xd9 into param_2, while the COAB function uses completely different logic involving string and variable comparisons with no such memory access pattern.
