unique_index	block_id	offset	vm_address	text	attachment_kind	owner_target	owner_summary	owner_incoming
17	1	0x010B	0x810B	DUEL	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
48	1	0x011E	0x811E	PREV	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
16	1	0x0165	0x8165	DROPBUCK	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
48	1	0x016D	0x816D	PREV	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
60	1	0x01A0	0x81A0	SPRITE	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
3	1	0x01A7	0x81A7	BOXPIC	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
48	1	0x01BA	0x81BA	PREV	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
73	1	0x0297	0x8297	X POSITION:	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
74	1	0x02A9	0x82A9	Y POSITION:	branch_target_region	0x80C9	0x80CA 0x00 EXIT	0x8022 GOTO 0x80C9; 0x80C5 GOTO 0x80C9; entry CampInterrupted; entry PreCampCheck; entry SearchLocation; entry vm_run_1
24	1	0x03BC	0x83BC	FIGHT WHICH SHIP TYPE?	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
56	1	0x0452	0x8452	SHIP #	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
57	1	0x0629	0x8629	SKILL	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
62	1	0x0640	0x8640	VIEW	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
49	1	0x068F	0x868F	PRSKILL	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
64	1	0x0700	0x8700	WHICH ONE?	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
45	1	0x0750	0x8750	PERSON #	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
64	1	0x07C3	0x87C3	WHICH ONE?	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
45	1	0x0814	0x8814	PERSON #	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
64	1	0x0887	0x8887	WHICH ONE?	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
45	1	0x0933	0x8933	PERSON #	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
1	1	0x0A34	0x8A34	BIGPIC	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
71	1	0x0A49	0x8A49	WILD	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
47	1	0x0A65	0x8A65	PICTURE:	branch_target_region	0x835A	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>	0x8078 GOTO 0x835A
22	17	0x09D0	0x89D0	EPHESUS	branch_target_region	0x89C0	0x89CD 0x09 SAVE scratch.word_0000 = abs_0006	0x88EF GOTO 0x89C0; 0x88FD GOTO 0x89C0
31	17	0x18E0	0x98E0	HELP ROMNEY	branch_target_region	0x96CF	"0x96DD 0x12 PRINTCLEAR ""A MAN CARRYING A BUNDLE OF PAPERS RUSHES UP TO YOU. HE GRABS YOUR ARM DESPERATELY. 'I AM DR. ROMNEY. PLEASE HELP ME GET TO THE SUN KING. IT IS MOST URGENT.'"""	0x8510 ON GOTO area2.event_scratch1 choice 20
59	17	0x212F	0xA12F	SOMEONE ELSE?	branch_target_region	0xA0AA	"0xA0AA 0x12 PRINTCLEAR ""THE AUTODOCS HUM SOOTHINGLY. 'DO YOU NEED HEALING?'"""	0x8510 ON GOTO area2.event_scratch1 choice 28
4	18	0x083B	0x883B	BUCK CONTINUES,	branch_target_region	0x82B0	0x82BA 0x00 EXIT	0x8276 GOTO 0x82B0
66	18	0x191A	0x991A	WHO BETS?	branch_target_region	0x9895	0x9895 0x12 PRINTCLEAR 'AN UNKEMPT LOOKING ROCKET JOCK STEPS UP.'	0x9714 ON GOTO area1.event_word_26C choice 3
34	18	0x1D6C	0x9D6C	HOW MUCH?	branch_target_region	0x9D42	0x9D42 0x12 PRINTCLEAR 'YOU LEAVE THE BAR.'	0x9494 ON GOTO area2.event_scratch0 choice 3
