block_id	offset	encoded_length	text
19	1085	18	A 1JALLD88UJX0EL UNYH
50	4691	22	A BATTLE ENSUES IN THIS LAB.
32	2810	72	A BEAM OF LIGHT SHOOTS OUT AND STRIKES THE MESA. IT SHIMMERS, THEN FADES. THE MESA WAS HOLOGRAM!
112	6402	18	A BOMB EXPLODES NEARBY!
82	4649	37	A BOOMING SPEAKER INTONES, 'COUNTDOWN INITIATED.'
80	2179	30	A CABLE HANGS OUT OF THE SKY. CLIMB UP?
18	6256	33	A CHEER GOES UP. THE BARTENDER LOOKS HAPPY.
112	3353	41	A COMPUTER SAYS, 'PLEASE INSERT YOUR STUDENT ID CARD.'
113	396	63	A COMPUTER VOICE SPEAKS. 'WELCOME TO GENETICS FOUNDATION. PREPARE FOR SECURITY SCAN.
32	4625	18	A COYODORG PACK ATTACKS!
112	8553	49	A CRY RAISES UP AMONGST THE AMALTHEANS. 'WITHDRAWL! WITHDRAWL...'
17	4208	85	A DANCER TELLS YOU HOW SHE WAS HARASSED BY THE TERRANS AT BERTH A. 'I WASN'T DOING ANYTHING. CALLED ME SUBHUMAN.'
38	8699	6	A DEUCE
96	1074	39	A FIREFIGHT RAGES BETWEEN PIRATES AND STORMRIDERS.
33	6118	51	A FIREFIGHT RAGES IN THE CORRIDOR BETWEEN WHITE MONKS AND LEECHES.
38	8728	5	A FIVE
114	7778	6	A FORCE
112	1049	21	A FOUNDATION SQUAD ATTACKS!
38	8719	5	A FOUR
38	3183	66	A GANG OF ARMED MEN ARE HERE. WARNED OF THEIR PRESENCE BY THE BEGGAR, YOU SURPRISE THEM.
38	3041	65	A GANG OF ARMED MEN SURROUND YOU. ONE SAYS, 'LOOKS LIKE WE TRAPPED US SOME MORE MARKS!
33	5751	59	A GANG WITH LEECH TATTOOS CONFRONT YOU. 'OUR LEADER, LOA-LOA, WANTS TO CHAT.'
82	7038	114	A GLEAM CATCHES YOUR EYE. YOU EXTRACT A SMALL OBLONG METAL DEVICE. IT APPEARS TO BE VERY HIGH TECH. YOU WILL NEED A SCIENTIST TO DETERMINE ITS PURPOSE.
64	3970	66	A GREASY MECHANIC WHISPERS, '...SAW TSAI TALKING WITH AN EARTHER. HE'S IN NEO'S POCKET.'
66	6383	33	A GREEN LIGHT FLASHES ON THE SECURITY PANEL.
112	8615	45	A GROUP OF SOLDIERS RUSH PAST YOU, GIVING YOU A WIDE BERTH.
113	4133	39	A GROUP OF STORMRIDERS APPROACH. ONE ADDRESSES YOU.
96	7091	38	A GROUP OF TECHS IS BUSY FIDDLING WITH SOME GEAR.
82	6433	86	A GUARD RUSHES UP. 'GOOD! THE CIVILIANS ARE SAFE. WE CAN'T HOLD RAM AT AIRLOCK 2. COME UP TO LEVEL 5 AND HELP US!'
21	1938	50	A GUARD SHOUTS TO ANOTHER, 'KILL THE PRISONERS! WE'LL DELAY THEM.'
65	3698	73	A HEAD POKES OUT FROM AN AIRSHAFT. YOU RECOGNIZE IT AS DR. COLDOR'S. SHE MOUTHS, 'DISTRACT THEM.'
19	796	26	A HEAVY CRUISER BARRELS IN ON YOU.
82	4690	90	A HUMAN VOICE BREAKS IN. 'GO TO THE ESCAPE HATCH ON THE THIRD LEVEL. FOURTH DOOR ON THE LEFT AS YOU EXIT THE ELEVATOR.'
38	8782	5	A JACK
38	8801	5	A KING
32	2886	63	A LARGE BUILDING IS REVEALED. A SIGN OVER THE FRONT DOOR READS 'HISTORICAL MUSEUM.'
50	1469	79	A LOWLANDER CALLS OUT TO YOU. 'HALT! DO NOT SSTEP NEARER! THERE ISS A POWERFUL GRAVITY FIELD BETWEEN USS!
49	2015	116	A LOWLANDER MEDIC MEETS YOU AT THE TOP OF THE SHAFT. HE RUSHES TO LLOROK'S SIDE AND IMMEDIATELY BEGINS TREATING HIS WOUNDS. AS HE WORKS, HE SPEAKS TO YOU.
50	9012	48	A LOWLANDER MEDIC RUSHES UP. 'HE NEEDS MEDICAL HELP RIGHT NOW!'
48	8299	16	A LOWLANDER SCIENTIST
64	7334	39	A MAN ANSWERS, 'THE SENATOR IS NOT RECEIVING CALLS.'
82	3595	40	A MAN BREAKS FROM HIDING AND DASHES THROUGH THE DOOR.
64	2268	108	A MAN INTERCEPTS YOUR REACHING HAND. 'LUNARIANS DO NOT APPRECIATE VIOLENCE BY FOREIGNERS. INTERFERE AND EITHER WE OR THE POLICE WILL KILL YOU.'
37	1713	25	A MASSIVE RAM FORCE MATERIALIZES!
20	6802	70	A MEALY MOUTHED SPACER LOOKS YOU OVER CAREFULLY, BUT SEEMS INDECISIVE ABOUT APPROACHING YOU.
20	7222	51	A MERCURIAN JOINS YOU AND WHISPERS, 'A RAM SPY HAS PENETRATED NEO.'
50	3706	22	A MERCURIAN PATROL SPOTS YOU!
17	4084	78	A MINER BECOMES INTERESTED. 'IN THE WARRENS, THEY SAY BERKELEY IS GOING TO GIVE AWAY ALL OUR BUSINESS.'
20	2284	49	A MONSTROUS LOOKING PIRATE SHOVES YOU AND GROWLS UNINTELLIGIBLY.
19	2246	32	A NEO CRUISER FINDS YOU AND HELPS YOU OUT.
38	8765	5	A NINE
81	3769	21	A PURGE MEMBER NOTICES YOU.
38	8791	6	A QUEEN
