block_id	offset	vm_address	encoded_length	text	context_kind	previous_address	previous_distance	previous_row	next_address	next_distance	next_row
1	0x010B	0x810B	3	DUEL	short_choice_or_label	0x80CA	65	0x80CA 0x00 EXIT	0x835A	591	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x011E	0x811E	3	PREV	short_choice_or_label	0x80CA	84	0x80CA 0x00 EXIT	0x835A	572	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x0165	0x8165	6	DROPBUCK	short_choice_or_label	0x80CA	155	0x80CA 0x00 EXIT	0x835A	501	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x016D	0x816D	3	PREV	short_choice_or_label	0x80CA	163	0x80CA 0x00 EXIT	0x835A	493	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01A0	0x81A0	5	SPRITE	short_choice_or_label	0x80CA	214	0x80CA 0x00 EXIT	0x835A	442	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01A7	0x81A7	5	BOXPIC	short_choice_or_label	0x80CA	221	0x80CA 0x00 EXIT	0x835A	435	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01BA	0x81BA	3	PREV	short_choice_or_label	0x80CA	240	0x80CA 0x00 EXIT	0x835A	416	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x0297	0x8297	9	X POSITION:	label_fragment	0x80CA	461	0x80CA 0x00 EXIT	0x835A	195	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x02A9	0x82A9	9	Y POSITION:	label_fragment	0x80CA	479	0x80CA 0x00 EXIT	0x835A	177	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x03BC	0x83BC	17	FIGHT WHICH SHIP TYPE?	inline_text_fragment	0x836C	80	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0452	0x8452	6	SHIP #	short_choice_or_label	0x836C	230	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0629	0x8629	4	SKILL	short_choice_or_label	0x836C	701	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0640	0x8640	3	VIEW	short_choice_or_label	0x836C	724	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x068F	0x868F	6	PRSKILL	short_choice_or_label	0x836C	803	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0700	0x8700	8	WHICH ONE?	short_choice_or_label	0x836C	916	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0750	0x8750	7	PERSON #	short_choice_or_label	0x836C	996	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x07C3	0x87C3	8	WHICH ONE?	short_choice_or_label	0x836C	1111	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0814	0x8814	7	PERSON #	short_choice_or_label	0x836C	1192	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0887	0x8887	8	WHICH ONE?	short_choice_or_label	0x836C	1307	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0933	0x8933	7	PERSON #	short_choice_or_label	0x836C	1479	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A34	0x8A34	5	BIGPIC	short_choice_or_label	0x836C	1736	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A49	0x8A49	3	WILD	short_choice_or_label	0x836C	1757	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A65	0x8A65	6	PICTURE:	label_fragment	0x836C	1785	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
17	0x09D0	0x89D0	6	EPHESUS	short_choice_or_label	0x89CD	3	0x89CD 0x09 SAVE scratch.word_0000 = abs_0006	0x89D9	9	0x89D9 0x09 SAVE scratch.word_0208 = abs_0004
